customer_id,age,income,tenure_months,policy_type,monthly_premium,claim_count,customer_service_calls,late_payments,satisfaction_score,discount_received,churned,annual_revenue,value_segment,risk_segment,predicted_churn_probability,churn_risk_group
18,20,29728.27,113,Auto,160.19,0,0,1,5,0,0,1922.28,High Value,Medium Satisfaction,0.06345336916590975,Low Risk
19,39,70445.26,39,Auto,70.38,1,1,1,5,0,0,844.56,Low Value,Medium Satisfaction,0.061020221545728524,Low Risk
20,70,68308.92,45,Auto,140.99,1,0,1,6,1,0,1691.88,Medium Value,Medium Satisfaction,0.0611324015414302,Low Risk
21,19,67211.44,32,Home,136.37,2,1,0,7,0,0,1636.44,Medium Value,Medium Satisfaction,0.07588025580833192,Low Risk
22,41,77930.1,65,Home,87.75,1,4,0,9,1,0,1053.0,Low Value,High Satisfaction,0.03942338447507172,Low Risk
23,61,91223.09,38,Auto,142.11,1,1,0,2,0,0,1705.3200000000002,Medium Value,Low Satisfaction,0.18355033910723992,Low Risk
24,47,51970.14,77,Renters,100.73,0,1,0,4,1,0,1208.76,Low Value,Low Satisfaction,0.019315026493410836,Low Risk
25,55,73942.5,11,Auto,233.89,1,1,0,5,1,0,2806.68,High Value,Medium Satisfaction,0.33634792070380193,Medium Risk
26,19,30248.46,10,Life,189.09,1,0,1,6,1,0,2269.08,High Value,Medium Satisfaction,0.326129672931912,Medium Risk
27,38,95331.61,112,Home,138.03,1,0,1,7,0,0,1656.3600000000001,Medium Value,Medium Satisfaction,0.012663437689223836,Low Risk
28,50,37613.71,59,Auto,115.57,0,1,1,3,0,0,1386.84,Low Value,Low Satisfaction,0.042307091540412234,Low Risk
29,29,49378.22,90,Renters,157.68,1,3,0,3,1,0,1892.16,High Value,Low Satisfaction,0.04228551019770742,Low Risk
30,39,51850.39,55,Renters,169.54,0,2,0,9,1,0,2034.48,High Value,High Satisfaction,0.04374839246412459,Low Risk
31,61,31422.04,20,Auto,146.45,0,1,1,9,0,0,1757.3999999999999,Medium Value,High Satisfaction,0.07772070076434161,Low Risk
32,42,65716.66,81,Auto,89.32,0,0,1,2,0,0,1071.84,Low Value,Low Satisfaction,0.02561407197193994,Low Risk
33,66,69705.89,17,Life,125.57,0,0,2,4,0,0,1506.84,Medium Value,Low Satisfaction,0.198490606847861,Low Risk
34,44,60832.9,68,Auto,138.51,1,1,2,4,1,0,1662.12,Medium Value,Low Satisfaction,0.0628414541962879,Low Risk
35,59,31114.55,5,Auto,148.06,0,1,1,5,0,0,1776.72,Medium Value,Medium Satisfaction,0.21720911774231685,Low Risk
36,45,108634.5,60,Home,149.1,0,2,0,2,1,0,1789.1999999999998,Medium Value,Low Satisfaction,0.08070511762810959,Low Risk
37,33,77083.08,23,Renters,167.89,0,2,1,4,1,0,2014.6799999999998,High Value,Low Satisfaction,0.2144739879229827,Low Risk
38,32,122952.88,46,Renters,195.38,1,1,0,3,0,0,2344.56,High Value,Low Satisfaction,0.34661207528954047,Medium Risk
39,64,47287.6,52,Life,180.57,1,2,0,6,1,0,2166.84,High Value,Medium Satisfaction,0.1375649434263171,Low Risk
40,68,86073.41,10,Home,161.56,1,4,0,4,1,0,1938.72,High Value,Low Satisfaction,0.530729010956504,Medium Risk
41,61,82144.03,46,Auto,78.4,0,1,0,1,0,0,940.8000000000001,Low Value,Low Satisfaction,0.06935160251935807,Low Risk
42,72,58607.35,28,Home,188.39,1,0,1,3,1,0,2260.68,High Value,Low Satisfaction,0.4610000608713811,Medium Risk
43,69,96043.12,97,Renters,171.85,2,1,0,8,1,0,2062.2,High Value,High Satisfaction,0.01440959010928089,Low Risk
44,74,56080.98,43,Auto,123.49,1,0,0,3,1,0,1481.8799999999999,Medium Value,Low Satisfaction,0.10799404285922005,Low Risk
45,20,57060.39,26,Auto,136.34,2,1,1,7,0,0,1636.08,Medium Value,Medium Satisfaction,0.11432230679698047,Low Risk
46,54,20000.0,55,Auto,137.95,0,1,0,2,0,0,1655.3999999999999,Medium Value,Low Satisfaction,0.07979261714509778,Low Risk
47,68,73998.62,114,Home,115.3,1,1,0,5,1,0,1383.6,Low Value,Medium Satisfaction,0.012224905210698129,Low Risk
48,24,35838.78,48,Renters,56.34,1,1,1,7,0,0,676.08,Low Value,Medium Satisfaction,0.09892756601188152,Low Risk
49,38,52884.13,29,Home,84.76,1,1,1,1,0,1,1017.1200000000001,Low Value,Low Satisfaction,0.20375586752367728,Low Risk
50,26,42423.17,27,Life,94.21,0,1,0,1,1,0,1130.52,Low Value,Low Satisfaction,0.14537591471694314,Low Risk
51,56,56942.91,18,Auto,46.45,1,1,0,8,0,0,557.4000000000001,Low Value,High Satisfaction,0.02256157000570415,Low Risk
52,35,74765.37,104,Life,84.9,0,1,0,2,0,0,1018.8000000000001,Low Value,Low Satisfaction,0.023142610585188173,Low Risk
53,21,65245.11,60,Renters,186.35,0,0,0,4,1,0,2236.2,High Value,Low Satisfaction,0.09399406714774651,Low Risk
54,42,80612.11,74,Auto,156.87,2,0,0,3,0,0,1882.44,High Value,Low Satisfaction,0.05210832639163138,Low Risk
55,31,92843.85,106,Life,91.31,0,0,0,5,0,0,1095.72,Low Value,Medium Satisfaction,0.01745528201781579,Low Risk
56,67,56886.49,69,Auto,104.03,0,2,0,2,1,0,1248.3600000000001,Low Value,Low Satisfaction,0.03290458092626499,Low Risk
57,26,54471.52,74,Renters,190.31,1,1,2,6,1,0,2283.7200000000003,High Value,Medium Satisfaction,0.0671995320662843,Low Risk
58,43,86070.01,114,Renters,189.2,0,1,1,8,0,0,2270.3999999999996,High Value,High Satisfaction,0.059639217411607735,Low Risk
59,70,87815.04,21,Renters,138.14,0,1,0,5,1,0,1657.6799999999998,Medium Value,Medium Satisfaction,0.1259641562485326,Low Risk
60,19,81293.0,24,Home,187.87,1,1,0,7,0,0,2254.44,High Value,Medium Satisfaction,0.22720989678709974,Low Risk
61,37,44052.07,102,Auto,100.53,1,1,0,5,0,0,1206.3600000000001,Low Value,Medium Satisfaction,0.02571030898848966,Low Risk
62,45,74298.41,3,Home,145.23,1,1,0,6,0,0,1742.7599999999998,Medium Value,Medium Satisfaction,0.3112633676438004,Medium Risk
63,64,67408.35,104,Auto,68.65,0,0,2,9,0,0,823.8000000000001,Low Value,High Satisfaction,0.010542767815099047,Low Risk
64,24,88155.64,95,Renters,118.61,0,0,0,10,1,0,1423.32,Medium Value,High Satisfaction,0.02516455284655379,Low Risk
65,61,52396.81,62,Renters,136.26,0,1,0,1,0,0,1635.12,Medium Value,Low Satisfaction,0.04206708478188311,Low Risk
66,25,28334.57,105,Life,59.17,1,1,1,10,0,0,710.04,Low Value,High Satisfaction,0.02659741229331303,Low Risk
67,64,80185.21,101,Auto,161.69,1,2,0,9,0,0,1940.28,High Value,High Satisfaction,0.021147998223926445,Low Risk
68,52,20000.0,2,Renters,169.21,0,1,2,3,0,1,2030.52,High Value,Low Satisfaction,0.7566511288009338,High Risk
69,31,48906.71,66,Life,180.5,1,2,0,10,1,0,2166.0,High Value,High Satisfaction,0.04654581038759068,Low Risk
70,34,42489.7,103,Renters,240.04,2,4,0,3,0,1,2880.48,High Value,Low Satisfaction,0.5257821596291677,Medium Risk
71,53,42341.44,113,Auto,153.75,0,0,1,4,0,0,1845.0,Medium Value,Low Satisfaction,0.02022320817452272,Low Risk
72,67,48521.31,42,Auto,132.12,1,1,1,8,0,0,1585.44,Medium Value,High Satisfaction,0.05874384606634979,Low Risk
73,57,91782.22,108,Auto,62.91,1,0,0,1,0,0,754.92,Low Value,Low Satisfaction,0.0189673128785111,Low Risk
74,21,83052.22,34,Home,152.64,1,2,1,4,0,0,1831.6799999999998,Medium Value,Low Satisfaction,0.1646926226710784,Low Risk
75,19,59461.92,42,Home,160.17,1,2,0,7,0,0,1922.04,High Value,Medium Satisfaction,0.07496960409396196,Low Risk
76,23,89939.72,20,Life,73.98,1,2,0,3,1,0,887.76,Low Value,Low Satisfaction,0.09872866600213896,Low Risk
77,71,41629.46,97,Auto,124.2,0,1,1,7,1,0,1490.4,Medium Value,Medium Satisfaction,0.011671024699150682,Low Risk
78,59,38637.77,68,Auto,135.5,0,1,0,5,1,0,1626.0,Medium Value,Medium Satisfaction,0.0325900392819405,Low Risk
79,21,83999.13,45,Home,158.83,0,0,1,10,1,0,1905.96,High Value,High Satisfaction,0.06552558976919182,Low Risk
80,71,77752.15,108,Renters,173.53,0,1,1,9,0,0,2082.36,High Value,High Satisfaction,0.015733028715171266,Low Risk
81,46,54874.21,75,Life,110.85,0,1,0,8,1,0,1330.1999999999998,Low Value,High Satisfaction,0.011924019516270817,Low Risk
82,35,40019.86,42,Renters,144.06,2,2,0,3,0,0,1728.72,Medium Value,Low Satisfaction,0.15629803417081697,Low Risk
83,43,97114.1,47,Auto,160.82,1,2,1,4,0,0,1929.84,High Value,Low Satisfaction,0.1735327968763561,Low Risk
84,61,27157.74,5,Home,126.82,0,1,1,7,0,0,1521.84,Medium Value,Medium Satisfaction,0.15164328166509194,Low Risk
85,51,51834.63,89,Renters,116.03,1,3,0,2,0,0,1392.3600000000001,Low Value,Low Satisfaction,0.025840036027430867,Low Risk
86,27,70028.68,49,Home,167.07,1,1,0,10,0,0,2004.84,High Value,High Satisfaction,0.05535217691562983,Low Risk
87,53,104647.63,37,Auto,127.0,0,2,0,6,0,0,1524.0,Medium Value,Medium Satisfaction,0.06570053586884414,Low Risk
88,31,73428.2,34,Auto,81.13,0,0,0,9,1,0,973.56,Low Value,High Satisfaction,0.03148692393220883,Low Risk
89,48,75566.7,73,Auto,196.79,2,2,0,9,1,0,2361.48,High Value,High Satisfaction,0.03872889483585626,Low Risk
90,65,52473.56,70,Renters,86.12,1,0,0,6,0,0,1033.44,Low Value,Medium Satisfaction,0.015714866448958923,Low Risk
91,32,77506.56,18,Auto,130.75,1,1,2,6,0,0,1569.0,Medium Value,Medium Satisfaction,0.15476793147210546,Low Risk
92,25,67316.81,78,Auto,149.48,0,3,0,6,0,0,1793.7599999999998,Medium Value,Medium Satisfaction,0.04906468237858956,Low Risk
93,31,30053.78,19,Auto,155.48,1,1,1,10,0,0,1865.7599999999998,Medium Value,High Satisfaction,0.09574197565198847,Low Risk
94,40,82444.57,78,Home,142.63,0,2,1,6,0,0,1711.56,Medium Value,Medium Satisfaction,0.03200066544938868,Low Risk
95,74,86348.65,40,Auto,40.0,2,0,1,3,1,0,480.0,Low Value,Low Satisfaction,0.10854420181355064,Low Risk
96,57,82674.03,17,Home,103.39,0,0,0,4,0,0,1240.68,Low Value,Low Satisfaction,0.1299418988990162,Low Risk
97,38,65733.21,60,Auto,148.33,0,3,0,6,0,0,1779.96,Medium Value,Medium Satisfaction,0.04906985032609946,Low Risk
98,33,43964.11,99,Auto,130.09,2,2,1,10,1,0,1561.08,Medium Value,High Satisfaction,0.015498303936382858,Low Risk
99,62,20000.0,93,Home,158.02,2,1,0,1,0,0,1896.2400000000002,High Value,Low Satisfaction,0.04874001656101692,Low Risk
100,35,68455.18,42,Auto,180.97,1,2,0,1,0,0,2171.64,High Value,Low Satisfaction,0.3057786739851985,Medium Risk
101,64,88802.73,81,Auto,157.8,1,1,0,7,0,0,1893.6000000000001,High Value,Medium Satisfaction,0.021621426726545594,Low Risk
102,70,86901.71,107,Auto,102.19,2,1,0,1,0,0,1226.28,Low Value,Low Satisfaction,0.025157979619204074,Low Risk
103,41,82953.6,72,Renters,110.77,1,1,0,5,1,0,1329.24,Low Value,Medium Satisfaction,0.02550838444248325,Low Risk
104,43,63367.36,65,Home,208.41,0,0,0,10,1,0,2500.92,High Value,High Satisfaction,0.05053978459226069,Low Risk
105,42,88924.21,109,Auto,126.94,0,1,0,8,0,0,1523.28,Medium Value,High Satisfaction,0.008367624335502965,Low Risk
106,62,85331.56,53,Auto,130.71,0,3,1,6,0,0,1568.52,Medium Value,Medium Satisfaction,0.032333088490340806,Low Risk
107,58,55702.06,100,Life,157.94,1,1,1,3,1,0,1895.28,High Value,Low Satisfaction,0.0267812117705165,Low Risk
108,46,79885.16,7,Home,190.67,1,1,0,2,0,1,2288.04,High Value,Low Satisfaction,0.7510892598193791,High Risk
109,32,53208.9,110,Auto,94.44,0,3,0,2,0,0,1133.28,Low Value,Low Satisfaction,0.02985919068834777,Low Risk
110,62,76880.53,5,Renters,112.67,0,2,0,4,1,1,1352.04,Low Value,Low Satisfaction,0.3883537633445633,Medium Risk
111,18,36419.43,24,Renters,62.82,1,0,0,9,1,0,753.84,Low Value,High Satisfaction,0.04319066326055282,Low Risk
112,42,38111.34,28,Renters,121.66,0,2,0,9,1,0,1459.92,Medium Value,High Satisfaction,0.04508430366602984,Low Risk
113,24,88280.56,62,Home,160.54,3,3,0,1,0,1,1926.48,High Value,Low Satisfaction,0.19268219383743418,Low Risk
114,26,85626.32,107,Auto,118.61,0,1,0,5,0,0,1423.32,Medium Value,Medium Satisfaction,0.02561481405357375,Low Risk
115,41,78939.45,17,Auto,214.19,2,2,0,9,1,0,2570.2799999999997,High Value,High Satisfaction,0.14507657532162915,Low Risk
116,18,66935.31,101,Life,140.23,0,1,0,4,0,0,1682.7599999999998,Medium Value,Low Satisfaction,0.04060009443613113,Low Risk
117,61,20000.0,20,Home,130.4,0,0,0,7,0,0,1564.8000000000002,Medium Value,Medium Satisfaction,0.08849533151919375,Low Risk
118,25,63352.73,3,Auto,119.15,0,1,1,6,0,1,1429.8000000000002,Medium Value,Medium Satisfaction,0.4985780537203418,Medium Risk
119,41,74992.03,37,Life,73.81,1,3,0,4,0,0,885.72,Low Value,Low Satisfaction,0.07236433923366911,Low Risk
120,28,53235.87,90,Life,130.94,1,2,0,10,0,0,1571.28,Medium Value,High Satisfaction,0.018395943714123765,Low Risk
121,68,49325.13,15,Life,151.13,1,2,0,7,0,0,1813.56,Medium Value,Medium Satisfaction,0.12940515191527435,Low Risk
122,34,96777.25,51,Renters,129.69,1,2,1,7,0,0,1556.28,Medium Value,Medium Satisfaction,0.051551149779672484,Low Risk
123,25,63673.64,48,Life,145.4,1,1,0,2,0,1,1744.8000000000002,Medium Value,Low Satisfaction,0.16602795641237758,Low Risk
124,52,75005.49,8,Auto,104.82,0,0,0,7,0,0,1257.84,Low Value,Medium Satisfaction,0.09422229883397687,Low Risk
125,52,82030.89,13,Renters,78.99,1,1,0,9,0,0,947.8799999999999,Low Value,High Satisfaction,0.0705554632243335,Low Risk
126,50,42968.38,48,Renters,130.22,3,1,2,6,0,0,1562.6399999999999,Medium Value,Medium Satisfaction,0.135847208003809,Low Risk
127,22,69250.56,3,Auto,144.93,0,3,0,6,0,1,1739.16,Medium Value,Medium Satisfaction,0.6198150644577413,High Risk
128,59,94032.18,65,Auto,127.41,1,1,1,6,0,0,1528.92,Medium Value,Medium Satisfaction,0.023288567737567375,Low Risk
129,56,105022.91,73,Life,144.16,0,2,1,2,0,0,1729.92,Medium Value,Low Satisfaction,0.07161097910518865,Low Risk
130,58,65878.6,31,Auto,169.95,1,1,0,6,0,0,2039.3999999999999,High Value,Medium Satisfaction,0.20082038922321332,Low Risk
131,45,59765.24,105,Renters,169.78,2,0,1,6,0,0,2037.3600000000001,High Value,Medium Satisfaction,0.03453201101384691,Low Risk
132,24,70918.53,118,Auto,173.58,0,1,0,9,0,0,2082.96,High Value,High Satisfaction,0.036578264260808145,Low Risk
133,26,70360.02,26,Auto,180.24,0,3,0,2,1,0,2162.88,High Value,Low Satisfaction,0.36493320194435497,Medium Risk
134,25,95508.68,81,Home,157.37,0,1,0,9,0,0,1888.44,High Value,High Satisfaction,0.0409091003523113,Low Risk
135,29,43079.38,56,Auto,151.03,0,1,2,5,1,0,1812.3600000000001,Medium Value,Medium Satisfaction,0.07580415840626936,Low Risk
136,51,58842.79,34,Home,222.43,0,1,0,9,1,0,2669.16,High Value,High Satisfaction,0.1700057970170702,Low Risk
137,50,40422.89,9,Home,170.26,0,4,0,10,0,1,2043.12,High Value,High Satisfaction,0.22888431584931618,Low Risk
138,65,42733.91,62,Auto,96.97,1,0,0,10,0,0,1163.6399999999999,Low Value,High Satisfaction,0.02536715221418826,Low Risk
139,72,73284.63,115,Auto,51.16,1,2,0,2,0,0,613.92,Low Value,Low Satisfaction,0.049968956200532745,Low Risk
140,40,82816.87,13,Auto,124.15,0,2,0,5,0,0,1489.8000000000002,Medium Value,Medium Satisfaction,0.22484147667983848,Low Risk
141,41,50713.38,69,Auto,163.11,2,0,1,2,1,0,1957.3200000000002,High Value,Low Satisfaction,0.07563409428813085,Low Risk
142,54,81986.09,41,Renters,178.15,1,2,0,5,1,0,2137.8,High Value,Medium Satisfaction,0.21212354133557618,Low Risk
143,52,89454.73,77,Auto,78.73,0,0,0,7,0,0,944.76,Low Value,Medium Satisfaction,0.008178223215535227,Low Risk
144,61,107563.53,1,Auto,167.82,2,3,0,7,0,1,2013.84,High Value,Medium Satisfaction,0.6900275252676532,High Risk
145,57,66534.43,89,Home,186.06,3,1,0,7,0,0,2232.7200000000003,High Value,Medium Satisfaction,0.0466267995134385,Low Risk
146,39,50925.18,47,Auto,162.39,1,0,0,5,0,1,1948.6799999999998,High Value,Medium Satisfaction,0.20328276962156921,Low Risk
147,44,42945.62,4,Auto,153.71,0,1,0,7,0,0,1844.52,Medium Value,Medium Satisfaction,0.16409581059507017,Low Risk
148,52,40760.55,100,Auto,129.02,0,1,0,6,0,0,1548.2400000000002,Medium Value,Medium Satisfaction,0.01914960568987726,Low Risk
149,18,92495.18,63,Renters,114.3,3,1,0,7,0,0,1371.6,Low Value,Medium Satisfaction,0.04242730670524605,Low Risk
150,52,31667.9,52,Life,170.35,1,1,0,5,1,1,2044.1999999999998,High Value,Medium Satisfaction,0.24570234102773836,Low Risk
151,54,91790.47,10,Renters,161.25,0,3,0,2,1,1,1935.0,High Value,Low Satisfaction,0.6588208755164099,High Risk
152,64,45894.3,28,Auto,120.28,1,0,0,9,0,0,1443.3600000000001,Medium Value,High Satisfaction,0.03172803216267496,Low Risk
153,31,49925.46,6,Auto,249.39,1,0,0,2,0,1,2992.68,High Value,Low Satisfaction,0.8059396354137859,High Risk
154,20,61665.78,27,Home,67.06,0,1,0,3,0,0,804.72,Low Value,Low Satisfaction,0.11002937334140432,Low Risk
155,18,49519.6,12,Renters,124.55,1,4,0,9,1,0,1494.6,Medium Value,High Satisfaction,0.2715047734392566,Low Risk
156,22,85503.55,62,Life,100.29,0,2,0,2,0,0,1203.48,Low Value,Low Satisfaction,0.07957568529078271,Low Risk
157,43,104893.57,52,Auto,152.29,0,1,0,8,0,0,1827.48,Medium Value,High Satisfaction,0.03049950241817765,Low Risk
158,72,50536.49,48,Auto,47.3,4,1,0,3,1,0,567.5999999999999,Low Value,Low Satisfaction,0.06333614585052234,Low Risk
159,31,55490.77,67,Home,192.12,1,0,0,6,0,0,2305.44,High Value,Medium Satisfaction,0.05440354505494845,Low Risk
160,56,61406.94,46,Renters,180.25,1,1,0,9,0,0,2163.0,High Value,High Satisfaction,0.07205268766296923,Low Risk
161,44,76903.25,97,Renters,147.03,1,2,0,10,1,0,1764.3600000000001,Medium Value,High Satisfaction,0.012371001359947825,Low Risk
162,26,61623.35,74,Home,121.04,0,0,1,10,0,0,1452.48,Medium Value,High Satisfaction,0.027518682628260228,Low Risk
163,32,95519.66,95,Life,167.23,1,2,1,3,1,0,2006.7599999999998,High Value,Low Satisfaction,0.08993770256913981,Low Risk
164,32,90225.73,15,Home,149.79,2,1,0,9,1,0,1797.48,Medium Value,High Satisfaction,0.09401064134045337,Low Risk
165,43,38919.83,71,Life,177.84,2,2,2,7,0,0,2134.08,High Value,Medium Satisfaction,0.05673875547550282,Low Risk
166,59,76461.3,36,Life,129.49,2,3,0,5,1,0,1553.88,Medium Value,Medium Satisfaction,0.08297121646677699,Low Risk
167,30,98447.46,14,Renters,126.83,0,2,0,8,0,0,1521.96,Medium Value,High Satisfaction,0.13103812098373638,Low Risk
168,68,54114.82,112,Auto,183.5,0,4,1,6,1,0,2202.0,High Value,Medium Satisfaction,0.03925597179319896,Low Risk
169,49,58526.17,78,Auto,163.51,0,0,0,7,0,0,1962.12,High Value,Medium Satisfaction,0.02310422050938539,Low Risk
170,56,53383.19,3,Home,127.17,0,2,0,3,1,1,1526.04,Medium Value,Low Satisfaction,0.47312244065754055,Medium Risk
171,66,53844.34,113,Home,151.55,1,1,0,10,0,0,1818.6000000000001,Medium Value,High Satisfaction,0.013664342700770181,Low Risk
172,69,28294.07,117,Renters,143.32,1,3,1,6,0,0,1719.84,Medium Value,Medium Satisfaction,0.03453889104188394,Low Risk
173,49,35777.07,110,Auto,156.02,0,5,0,3,1,0,1872.2400000000002,Medium Value,Low Satisfaction,0.024578205313686565,Low Risk
174,21,66704.42,114,Auto,192.13,2,1,0,7,0,0,2305.56,High Value,Medium Satisfaction,0.06267856046817025,Low Risk
175,47,98299.16,67,Renters,119.26,0,2,1,10,0,0,1431.1200000000001,Medium Value,High Satisfaction,0.014952963374045038,Low Risk
176,54,51506.06,86,Auto,106.0,1,1,0,6,0,0,1272.0,Low Value,Medium Satisfaction,0.019489952380994026,Low Risk
177,40,50859.34,19,Auto,147.32,0,3,0,10,0,0,1767.84,Medium Value,High Satisfaction,0.06558037100366959,Low Risk
178,56,102433.46,99,Auto,110.86,0,0,0,8,0,0,1330.32,Low Value,High Satisfaction,0.01046024503166714,Low Risk
179,62,40618.34,76,Home,94.01,1,0,1,8,1,0,1128.1200000000001,Low Value,High Satisfaction,0.011395447959992554,Low Risk
180,32,28452.65,54,Auto,179.71,1,0,0,6,0,0,2156.52,High Value,Medium Satisfaction,0.1005950057929115,Low Risk
181,60,46772.66,69,Renters,122.08,1,0,1,2,0,0,1464.96,Medium Value,Low Satisfaction,0.03416129072057645,Low Risk
182,46,50418.74,10,Auto,50.94,0,2,0,10,1,0,611.28,Low Value,High Satisfaction,0.09145775111618519,Low Risk
183,53,26556.03,105,Life,173.13,0,4,1,10,0,0,2077.56,High Value,High Satisfaction,0.04945080529247723,Low Risk
184,30,62183.08,33,Home,115.28,0,0,0,6,1,0,1383.3600000000001,Low Value,Medium Satisfaction,0.06596551643162188,Low Risk
185,49,85865.82,13,Auto,161.0,1,0,0,1,0,0,1932.0,High Value,Low Satisfaction,0.3275111641996553,Medium Risk
186,24,36708.99,99,Auto,183.75,3,2,0,6,0,1,2205.0,High Value,Medium Satisfaction,0.08351843197857611,Low Risk
187,68,66926.72,51,Auto,143.53,1,3,1,6,0,1,1722.3600000000001,Medium Value,Medium Satisfaction,0.09853111605685808,Low Risk
188,39,73710.58,32,Home,43.4,1,0,1,6,0,0,520.8,Low Value,Medium Satisfaction,0.0511836532065121,Low Risk
189,45,63165.55,75,Auto,46.63,1,1,1,9,0,0,559.5600000000001,Low Value,High Satisfaction,0.011563983069903137,Low Risk
190,19,69085.24,112,Auto,104.74,3,1,0,4,0,0,1256.8799999999999,Low Value,Low Satisfaction,0.022619227704421697,Low Risk
191,59,69341.2,102,Home,132.44,0,1,1,7,0,0,1589.28,Medium Value,Medium Satisfaction,0.010647999111691904,Low Risk
192,62,47119.98,24,Auto,189.01,0,0,0,3,0,0,2268.12,High Value,Low Satisfaction,0.5172212571120745,Medium Risk
193,74,97968.82,35,Auto,148.11,2,4,3,8,1,0,1777.3200000000002,Medium Value,High Satisfaction,0.1355790688690928,Low Risk
194,70,92450.65,83,Renters,252.78,0,2,0,2,0,1,3033.36,High Value,Low Satisfaction,0.6127653832345094,High Risk
195,23,91178.05,70,Life,67.89,0,0,0,2,0,0,814.6800000000001,Low Value,Low Satisfaction,0.04521746370384581,Low Risk
196,45,87300.87,40,Auto,140.46,0,1,0,5,0,0,1685.52,Medium Value,Medium Satisfaction,0.09041220533578029,Low Risk
197,45,30350.45,54,Auto,114.95,1,0,0,1,0,1,1379.4,Low Value,Low Satisfaction,0.07015000824377202,Low Risk
198,61,85373.37,109,Life,145.56,0,0,0,1,0,0,1746.72,Medium Value,Low Satisfaction,0.030350334189163157,Low Risk
199,61,79423.23,44,Auto,213.83,1,2,0,3,0,1,2565.96,High Value,Low Satisfaction,0.576767481920886,Medium Risk
200,37,31196.48,62,Life,216.67,0,2,0,6,0,0,2600.04,High Value,Medium Satisfaction,0.18541045541384524,Low Risk
201,47,60271.97,106,Auto,137.45,2,3,0,10,0,0,1649.3999999999999,Medium Value,High Satisfaction,0.014056677550555197,Low Risk
202,28,71089.46,99,Renters,173.77,2,1,0,6,0,0,2085.2400000000002,High Value,Medium Satisfaction,0.028303574303216318,Low Risk
203,72,101614.98,68,Auto,144.7,0,0,1,8,1,0,1736.3999999999999,Medium Value,High Satisfaction,0.029967382125301464,Low Risk
204,45,80943.92,33,Life,86.61,0,1,0,7,0,0,1039.32,Low Value,Medium Satisfaction,0.02767287893275781,Low Risk
205,42,45979.55,77,Auto,135.64,1,0,0,1,0,0,1627.6799999999998,Medium Value,Low Satisfaction,0.038161594359582905,Low Risk
206,56,102298.55,56,Home,112.27,0,2,0,1,0,0,1347.24,Low Value,Low Satisfaction,0.05481919469639162,Low Risk
207,50,65963.15,36,Auto,132.18,1,0,0,4,1,0,1586.16,Medium Value,Low Satisfaction,0.08991036640212119,Low Risk
208,18,59371.49,54,Auto,96.66,1,2,1,1,0,0,1159.92,Low Value,Low Satisfaction,0.13862294352851784,Low Risk
209,74,57803.4,107,Renters,141.98,1,0,1,1,0,0,1703.7599999999998,Medium Value,Low Satisfaction,0.03908402709527927,Low Risk
